Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Average Spending Per Beneficiary
1st Tier Unifine Pentips ,"Pen Needle, Diabetic ",1,"$215,930.43","1,050,323","8,897","3,423",$0.21,$24.27,$63.08
1st Tier Unifine Pentips Plus ,"Pen Needle, Diabetic ",1,"$370,090.94","1,715,263","14,318","6,456",$0.22,$25.85,$57.33
Abacavir ,Abacavir Sulfate ,5,"$19,363,103.82","4,259,148","66,624","9,006",$4.55,$290.63,"$2,150.02"
Abacavir-Lamivudine-Zidovudine ,Abacavir/Lamivudine/Zidovudine ,1,"$12,787,721.57","608,455","9,768","1,333",$21.02,"$1,309.14","$9,593.19"
Abelcet ,Amphotericin B Lipid Complex ,1,"$752,938.84","85,650",476,140,$8.79,"$1,581.80","$5,378.13"
Abilify ,Aripiprazole ,1,"$92,475,981.62","2,936,585","97,631","39,246",$31.48,$947.20,"$2,356.32"
Abilify Maintena ,Aripiprazole ,1,"$201,856,628.39","117,247","116,230","17,158","$1,721.52","$1,736.70","$11,764.58"
Abraxane ,Paclitaxel Protein-Bound ,1,"$5,472,304.71","4,766",890,247,"$1,148.29","$6,148.66","$22,155.08"
Absorica ,Isotretinoin ,1,"$124,497.92","3,960",89,49,$31.44,"$1,398.85","$2,540.77"
Abstral ,Fentanyl Citrate ,1,"$8,284,343.87","97,580",801,164,$77.00,"$10,342.50","$50,514.29"
Acamprosate Calcium ,Acamprosate Calcium ,3,"$4,100,335.98","4,419,061","27,893","8,771",$0.93,$147.00,$467.49
Acanya ,Clindamycin Phos/Benzoyl Perox ,1,"$293,488.75","33,180",630,354,$8.85,$465.86,$829.06
Acarbose ,Acarbose ,8,"$9,574,169.70","24,241,548","193,048","41,235",$0.40,$49.59,$232.19
Accolate ,Zafirlukast ,1,"$275,819.90","74,734",899,259,$3.69,$306.81,"$1,064.94"
Accupril ,Quinapril HCl ,1,"$2,129,447.52","628,104","8,133","1,742",$3.39,$261.83,"$1,222.42"
Accuretic ,Quinapril/Hydrochlorothiazide ,1,"$254,634.20","78,295",825,225,$3.25,$308.65,"$1,131.71"
Acebutolol HCl ,Acebutolol HCl ,2,"$3,700,441.36","10,804,969","119,448","23,186",$0.34,$30.98,$159.60
Acetaminophen-Codeine ,Acetaminophen With Codeine ,12,"$48,828,840.34","213,457,667","3,686,074","1,708,259",$0.23,$13.25,$28.58
Acetasol HC ,Hydrocortisone/Acetic Acid ,1,"$44,388.51","3,935",374,306,$11.28,$118.69,$145.06
Acetazolamide ,Acetazolamide ,6,"$36,324,816.32","18,473,764","307,906","107,888",$1.98,$117.97,$336.69
Acetic Acid ,Acetic Acid ,6,"$1,286,723.35","40,714,002","60,060","31,569",$0.89,$21.42,$40.76
Acetic Acid-Aluminum ,Acetic Acid/Aluminum Acetate ,1,"$254,673.41","273,549","4,454","3,335",$0.93,$57.18,$76.36
Acetylcysteine ,Acetylcysteine ,5,"$1,727,080.02","2,200,958","28,214","7,645",$0.79,$61.21,$225.91
Aciphex ,Rabeprazole Sodium ,1,"$27,837,299.79","1,797,313","28,163","5,501",$15.49,$988.44,"$5,060.41"
Aciphex Sprinkle ,Rabeprazole Sodium ,1,"$170,139.52","10,788",186,56,$15.77,$914.73,"$3,038.21"
Acitretin ,Acitretin ,3,"$21,195,726.88","1,029,005","27,588","6,999",$20.72,$768.30,"$3,028.39"
Actemra ,Tocilizumab ,1,"$61,489,156.80","137,157","22,165","3,499",$784.76,"$2,774.16","$17,573.35"
Acthib ,Haemoph B Poly Conj-Tet Tox/PF ,1,"$7,638.78",173,181,172,$44.15,$42.20,$44.41
Actigall ,Ursodiol ,1,"$784,865.18","103,610",753,157,$7.58,"$1,042.32","$4,999.14"
Actimmune ,"Interferon Gamma-1b,Recomb. ",1,"$22,560,662.62","3,114",452,64,"$7,246.08","$49,912.97","$352,510.35"
Actiq ,Fentanyl Citrate ,1,"$1,828,655.21","11,790",80,  ,$155.10,"$22,858.19",  
Activella ,Estradiol/Norethindrone Acet ,1,"$428,238.82","57,926","1,435",372,$7.40,$298.42,"$1,151.18"
Actonel ,Risedronate Sodium ,1,"$8,750,172.97","112,627","22,130","5,951",$138.94,$395.40,"$1,470.37"
Actoplus Met ,Pioglitazone HCl/Metformin HCl ,1,"$733,373.29","83,887",952,216,$8.74,$770.35,"$3,395.25"
Actoplus Met XR ,Pioglitazone HCl/Metformin HCl ,1,"$2,754,835.69","246,672","2,976",732,$12.16,$925.68,"$3,763.44"
Actos ,Pioglitazone HCl ,1,"$3,850,687.67","240,651","4,711","1,055",$16.09,$817.38,"$3,649.94"
Acular ,Ketorolac Tromethamine ,1,"$107,631.23","2,775",439,204,$38.79,$245.17,$527.60
Acular Ls ,Ketorolac Tromethamine ,1,"$91,009.22","2,131",347,161,$42.71,$262.27,$565.27
Acuvail ,Ketorolac Tromethamine/PF ,1,"$481,254.14","56,785","1,320",630,$8.48,$364.59,$763.90
Acyclovir ,Acyclovir ,21,"$66,322,617.08","106,060,001","1,684,142","659,797",$1.26,$39.38,$100.52
Acyclovir Sodium ,Acyclovir Sodium ,2,"$75,728.45","150,062",341,125,$0.51,$222.08,$605.83
Aczone ,Dapsone ,1,"$1,810,947.97","227,040","3,631","1,894",$7.98,$498.75,$956.15
Adacel Tdap ,"Diph,Pertuss(Acell),Tet Vac/PF ",1,"$10,032,153.66","106,893","167,808","167,176",$93.79,$59.78,$60.01
Adalat Cc ,Nifedipine ,1,"$240,665.15","113,423","1,902",394,$2.16,$126.53,$610.83
Adapalene ,Adapalene ,8,"$1,484,532.12","460,622","9,605","5,198",$3.22,$154.56,$285.60
Adcirca ,Tadalafil ,1,"$275,975,645.54","5,468,516","89,381","10,987",$50.47,"$3,087.63","$25,118.38"
Adderall ,Dextroamphetamine/Amphetamine ,1,"$2,661,509.22","497,949","6,717","1,333",$5.35,$396.23,"$1,996.63"
Adderall XR ,Dextroamphetamine/Amphetamine ,1,"$8,987,834.37","1,681,371","27,188","6,225",$5.43,$330.58,"$1,443.83"
Adefovir Dipivoxil ,Adefovir Dipivoxil ,1,"$6,185,377.12","232,352","6,440",938,$26.62,$960.46,"$6,594.22"
Adempas ,Riociguat ,1,"$184,163,582.80","1,849,781","21,306","2,782",$99.56,"$8,643.74","$66,198.27"
Adrenalin ,Epinephrine ,1,"$2,486.92",357,176,160,$6.97,$14.13,$15.54
Adrucil ,Fluorouracil ,1,"$3,121.39","8,420",106,40,$0.37,$29.45,$78.03
Advair Diskus ,Fluticasone/Salmeterol ,1,"$2,320,125,120.00","401,111,250","5,195,116","1,196,224",$5.79,$446.60,"$1,939.54"
Advair HFA ,Fluticasone/Salmeterol ,1,"$191,547,446.48","6,191,518","423,138","114,090",$30.93,$452.68,"$1,678.92"
Advicor ,Niacin/Lovastatin ,1,"$723,071.96","106,322","1,814","1,056",$6.82,$398.61,$684.73
Advocate Pen Needles ,"Pen Needle, Diabetic ",1,"$367,844.70","848,909","7,083","2,451",$0.43,$51.93,$150.08
Advocate Syringes ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,"$56,646.74","124,284","1,424",506,$0.46,$39.78,$111.95
Advocate Syringes ,"Syringe And Needle,Insulin,1ml ",1,"$142,271.90","308,281","3,213",952,$0.46,$44.28,$149.45
Advocate Syringes ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$131,774.16","291,390","3,270","1,007",$0.45,$40.30,$130.86
Aerospan ,Flunisolide ,1,"$288,278.15","12,798","1,218",821,$22.52,$236.68,$351.13
Afeditab Cr ,Nifedipine ,1,"$929,662.33","1,637,512","34,112","10,156",$0.57,$27.25,$91.54
Afinitor ,Everolimus ,1,"$347,373,202.95","825,739","28,843","5,954",$420.77,"$12,043.59","$58,342.83"
Afrezza ,"Insulin Regular, Human ",1,"$959,210.52","329,074","2,147",621,$2.88,$446.77,"$1,544.62"
Aggrenox ,Aspirin/Dipyridamole ,1,"$89,841,610.12","11,532,878","171,806","29,076",$7.79,$522.92,"$3,089.89"
Agrylin ,Anagrelide HCl ,1,"$940,637.06","118,824","1,207",455,$7.92,$779.32,"$2,067.33"
Ak-Poly-Bac ,Bacitracin/Polymyxin B Sulfate ,1,"$43,222.79","9,289","2,493","1,854",$4.65,$17.34,$23.31
Akynzeo ,Netupitant/Palonosetron HCl ,1,"$565,781.03","1,022",693,242,$553.60,$816.42,"$2,337.94"
Ala-Scalp ,Hydrocortisone ,1,"$46,655.03","4,326",130,99,$10.78,$358.88,$471.26
Albenza ,Albendazole ,1,"$10,227,068.37","62,707","6,057","4,540",$163.09,"$1,688.47","$2,252.66"
Albutein ,Albumin Human ,1,"$20,502.79","19,650",82,  ,$1.04,$250.03,  
Albuterol Sulfate ,Albuterol Sulfate ,11,"$27,051,896.75","80,926,229","685,145","229,280",$0.43,$39.48,$117.99
Alclometasone Dipropionate ,Alclometasone Dipropionate ,3,"$3,486,821.46","2,355,160","56,960","39,436",$1.48,$61.22,$88.42
Alcohol Pads ,Alcohol Antiseptic Pads ,2,"$11,268,127.76","34,701,115","268,200","74,240",$0.32,$42.01,$151.78
Alcohol Prep Pads ,Alcohol Antiseptic Pads ,14,"$27,208,697.60","87,946,142","554,660","183,495",$0.29,$49.05,$148.28
Alcohol Prep Swabs ,Alcohol Antiseptic Pads ,1,"$4,699.14","165,733","1,576",518,$0.03,$2.98,$9.07
Alcohol Swab ,Alcohol Antiseptic Pads ,2,"$61,213.18","2,209,952","19,670","6,471",$0.03,$3.11,$9.46
Alcohol Swabs ,Alcohol Antiseptic Pads ,8,"$254,890.83","10,730,659","80,389","38,453",$0.02,$3.17,$6.63
Alcohol Wipes ,Alcohol Antiseptic Pads ,2,"$12,879.11","393,126","3,522","1,036",$0.03,$3.66,$12.43
Aldactazide ,Spironolact/Hydrochlorothiazid ,1,"$346,647.81","117,402","2,116",603,$2.99,$163.82,$574.87
Aldactone ,Spironolactone ,1,"$640,690.71","259,183","3,421",835,$2.43,$187.28,$767.29
Aldara ,Imiquimod ,1,"$158,731.32","2,716",159,87,$58.44,$998.31,"$1,824.50"
Aldurazyme ,Laronidase ,1,"$2,541,409.44","14,960",63,  ,$169.88,"$40,339.83",  
Alendronate Sodium ,Alendronate Sodium ,16,"$61,117,733.96","59,662,798","7,591,421","1,651,920",$1.11,$8.05,$37.00
Alfuzosin HCl ER ,Alfuzosin HCl ,8,"$12,234,151.96","31,982,392","559,797","134,538",$0.38,$21.85,$90.93
Alimta ,Pemetrexed Disodium ,1,"$7,931,648.12","5,297","1,477",284,"$2,257.80","$5,370.11","$27,928.34"
Alinia ,Nitazoxanide ,2,"$6,433,216.15","120,262","5,367","4,084",$58.97,"$1,198.66","$1,575.22"
Alkeran ,Melphalan ,1,"$63,364.47","5,660",184,69,$11.20,$344.37,$918.33
Allopurinol ,Allopurinol ,9,"$142,862,324.82","553,887,784","8,558,964","1,782,781",$0.26,$16.69,$80.13
Almotriptan Malate ,Almotriptan Malate ,2,"$896,499.20","35,009","2,733",978,$25.66,$328.03,$916.67
Alocril ,Nedocromil Sodium ,1,"$744,283.12","20,170","3,312","1,658",$36.90,$224.72,$448.90
Alomide ,Lodoxamide Tromethamine ,1,"$157,530.87","10,685",846,371,$14.74,$186.21,$424.61
Alora ,Estradiol ,1,"$834,928.88","77,218","6,450","1,583",$10.80,$129.45,$527.43
Alosetron HCl ,Alosetron HCl ,2,"$12,572,393.49","493,153","8,260","2,041",$25.51,"$1,522.08","$6,159.92"
Aloxi ,Palonosetron HCl ,1,"$1,679,027.14","18,745","2,142",620,$89.57,$783.86,"$2,708.11"
Alphagan P ,Brimonidine Tartrate ,1,"$185,755,171.57","7,719,054","872,314","198,190",$24.12,$212.95,$937.26
Alprazolam ,Alprazolam ,12,"$99,621,512.49","957,905,986","14,538,919","2,684,982",$0.11,$6.85,$37.10
Alprazolam ER ,Alprazolam ,3,"$1,405,386.87","2,725,279","53,516","11,323",$0.53,$26.26,$124.12
Alprazolam Intensol ,Alprazolam ,1,"$69,743.26","22,683",558,237,$3.07,$124.99,$294.28
Alprazolam ODT ,Alprazolam ,2,"$773,786.20","495,972","7,956","3,023",$1.51,$97.26,$255.97
Alprazolam XR ,Alprazolam ,1,"$551,640.09","1,142,839","20,297","5,479",$0.49,$27.18,$100.68
Alrex ,Loteprednol Etabonate ,1,"$12,547,024.86","347,739","53,019","24,670",$36.08,$236.65,$508.59
Altabax ,Retapamulin ,1,"$478,217.01","35,830","1,437",973,$13.35,$332.79,$491.49
Altace ,Ramipril ,1,"$5,023,403.98","1,053,874","13,803","2,809",$4.74,$363.94,"$1,788.32"
Altavera ,Levonorgestrel-Ethin Estradiol ,1,"$34,725.28","79,380","1,868",400,$0.44,$18.59,$86.81
Altoprev ,Lovastatin ,1,"$2,422,193.33","127,516","2,352",682,$18.98,"$1,029.84","$3,551.60"
Alvesco ,Ciclesonide ,1,"$7,411,128.15","206,741","19,462","4,477",$35.85,$380.80,"$1,655.38"
Alyacen ,Norethindrone-Ethinyl Estrad ,1,"$86,714.43","142,665","3,626",700,$0.61,$23.91,$123.88
Amantadine ,Amantadine HCl ,10,"$44,891,113.70","43,301,022","479,835","91,135",$1.25,$93.56,$492.58
Amaryl ,Glimepiride ,1,"$1,485,559.45","511,537","6,107","1,305",$2.96,$243.26,"$1,138.36"
Ambien ,Zolpidem Tartrate ,1,"$14,173,963.61","921,374","24,958","4,964",$15.38,$567.91,"$2,855.35"
Ambien Cr ,Zolpidem Tartrate ,1,"$9,515,447.39","717,385","18,914","3,012",$13.33,$503.09,"$3,159.18"
Ambisome ,Amphotericin B Liposome ,1,"$836,267.62","19,287",448,105,$43.36,"$1,866.67","$7,964.45"
Amcinonide ,Amcinonide ,1,"$680,465.09","150,687","2,509","1,326",$4.52,$271.21,$513.17
Amerge ,Naratriptan HCl ,1,"$470,282.17","9,034",622,128,$52.06,$756.08,"$3,674.08"
Amethia ,L-Norgest/E.Estradiol-E.Estrad ,1,"$241,885.96","158,029","1,729",752,$1.53,$139.90,$321.66
Amethia Lo ,L-Norgest/E.Estradiol-E.Estrad ,1,"$71,977.40","42,224",460,173,$1.70,$156.47,$416.05
Amethyst ,Levonorgestrel-Ethin Estradiol ,1,"$65,142.31","48,356","1,212",201,$1.35,$53.75,$324.09
Amicar ,Aminocaproic Acid ,1,"$6,573,393.98","390,461","2,476","1,140",$18.28,"$2,654.84","$5,766.14"
Amikacin Sulfate ,Amikacin Sulfate ,3,"$1,167,815.15","1,052,321","11,717","4,503",$1.24,$99.67,$259.34
Amiloride HCl ,Amiloride HCl ,3,"$4,035,084.71","7,034,768","94,266","19,561",$0.57,$42.81,$206.28
Amiloride-Hydrochlorothiazide ,Amiloride/Hydrochlorothiazide ,2,"$2,237,813.27","5,703,867","92,164","20,292",$0.39,$24.28,$110.28
